"","samp_full","Pop","PopID","Region","Ecotype","label","Region_color","Ecotype_color","PopID_color","Gsub_PC1","Gsub_PC2","G_AllInv_PC1","G_AllInv_PC2","InvHclustOrder","InvHclustK5"
"46",17011,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17011","blue4","darkcyan","#FA8072FF",-0.0517527403972651,0.0337255185338998,0.0197644726883822,0.00144991976605695,254,4
"47",17013,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17013","blue4","darkcyan","#FA8072FF",-0.07046390757622,0.0074746000723643,0.0617061353425329,-0.0538279485161824,248,2
"48",17015,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17015","blue4","darkcyan","#FA8072FF",-0.0674408514675881,0.00740749151442251,0.0607123795419431,-0.0555406814741491,160,2
"49",17016,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17016","blue4","darkcyan","#FA8072FF",-0.0467711199263989,0.0591267498686933,0.00256754578706763,0.034572986822839,165,3
"50",17017,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17017","blue4","darkcyan","#FA8072FF",-0.0624193737611364,0.0167673505448259,0.0463719734843279,-0.0497898714296378,144,2
"51",17018,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17018","blue4","darkcyan","#FA8072FF",-0.0637949608242514,0.0073702361178245,0.0591847643479364,-0.0545002026983867,253,2
"52",17019,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17019","blue4","darkcyan","#FA8072FF",-0.064907049794691,0.00258531787234093,0.0567193114301702,-0.0283103340029586,175,1
"53",17020,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17020","blue4","darkcyan","#FA8072FF",-0.0706718599426369,0.00783927831764554,0.06150990264847,-0.0547553400766907,231,2
"54",17022,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17022","blue4","darkcyan","#FA8072FF",-0.0682862703110411,0.00775997583723022,0.0617932473379849,-0.0555847683997697,244,2
"55",17023,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17023","blue4","darkcyan","#FA8072FF",-0.0663708534614126,0.00893865894780208,0.0596479318828005,-0.0546097487308627,176,2
"56",17024,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17024","blue4","darkcyan","#FA8072FF",-0.0624147578646267,0.00903656522503776,0.0506547356137358,-0.0408484945261711,228,1
"57",17026,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17026","blue4","darkcyan","#FA8072FF",-0.0619291832311103,0.00386275487020559,0.0516935180184758,-0.0360028583757414,226,1
"58",17027,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17027","blue4","darkcyan","#FA8072FF",-0.0645765714752457,0.00908837663436195,0.0529865140148653,-0.0436316943299701,251,1
"59",17028,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17028","blue4","darkcyan","#FA8072FF",-0.0696274264283653,-0.00139806787102622,0.0657185555599782,-0.0471690715322093,235,1
"60",17029,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17029","blue4","darkcyan","#FA8072FF",-0.0621730113880577,0.0150344963638183,0.0449932715149166,-0.0446849863319904,247,2
"61",17031,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17031","blue4","darkcyan","#FA8072FF",-0.064889245951956,0.00645795325340238,0.0525562236551353,-0.0395903063724398,270,1
"62",17153,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17153","blue4","darkcyan","#FA8072FF",-0.0612092629681803,0.00777571447072477,0.049784766425032,-0.0375291056236075,148,1
"63",17154,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17154","blue4","darkcyan","#FA8072FF",-0.0667673304233269,0.00298354033838023,0.0596170832046836,-0.0537233069352249,159,2
"64",17155,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17155","blue4","darkcyan","#FA8072FF",-0.0556533508663549,0.0189964331386172,0.0322874483457963,0.0208038871761385,163,1
"65",17156,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17156","blue4","darkcyan","#FA8072FF",-0.0595181122936871,0.0131374002891473,0.0457107067340633,-0.0451224095381526,149,2
"66",17313,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17313","blue4","darkcyan","#FA8072FF",-0.061904233337838,0.00136659045020516,0.0520407118799907,-0.0342633518868016,173,1
"67",17314,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17314","blue4","darkcyan","#FA8072FF",-0.0549473959155858,0.0190944234445754,0.0321034625336374,0.0193329848680565,153,1
"68",17315,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17315","blue4","darkcyan","#FA8072FF",-0.0698503517948881,0.00618212783900457,0.0618767914785784,-0.0564134758971539,239,2
"69",17316,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17316","blue4","darkcyan","#FA8072FF",-0.0624150445154716,0.00557751401335633,0.0523151602524803,-0.0355038878434632,141,1
"70",16221,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_16221","blue4","darkcyan","#CD9B1D80",-0.0627328725784487,0.0173524660035913,0.0458568219337963,-0.048598950022461,286,2
"71",16223,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_16223","blue4","darkcyan","#CD9B1D80",-0.0670760956473218,0.00354445775291111,0.0620086225568039,-0.0567362607711292,167,2
"72",16227,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_16227","blue4","darkcyan","#CD9B1D80",-0.0676479734646528,-0.00348787383101132,0.0656638050729483,-0.0449053582555718,224,1
"73",16228,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_16228","blue4","darkcyan","#CD9B1D80",-0.0600146044585419,0.00605768578226748,0.0509230353972063,-0.0382369719735566,152,1
"74",16240,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_16240","blue4","darkcyan","#CD9B1D80",-0.0701316600537543,-0.00532478681293041,0.0681796155887635,-0.0460596188519235,140,1
"75",16243,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_16243","blue4","darkcyan","#CD9B1D80",-0.0662815068869032,0.00722874587378844,0.0606596651787044,-0.0547314491484263,169,2
"76",16245,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_16245","blue4","darkcyan","#CD9B1D80",-0.0524604602293251,0.0354392387588274,0.0201150655041976,0.00214585338166265,150,4
"77",16248,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_16248","blue4","darkcyan","#CD9B1D80",-0.0690035120994024,-0.0010081517722277,0.0655584436316047,-0.0454877053689808,275,1
"78",17002,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17002","blue4","darkcyan","#CD9B1D80",-0.0683292071222337,-0.00594903826512665,0.0675377547381709,-0.0475803618005275,225,1
"79",17030,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17030","blue4","darkcyan","#CD9B1D80",-0.0675632955942361,0.00693379384384122,0.0606131591295543,-0.0546051834509008,229,2
"80",17033,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17033","blue4","darkcyan","#CD9B1D80",-0.0587529141227681,0.0183805628409459,0.0404790217045991,0.00352775216576544,207,1
"81",17287,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17287","blue4","darkcyan","#CD9B1D80",-0.0538611785387971,0.0297975578111378,0.0262458552864917,0.00909467829597856,242,4
"82",17288,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17288","blue4","darkcyan","#CD9B1D80",-0.0661688120318215,-0.00616758695619632,0.066206861501568,-0.0462395081350144,277,1
"83",17290,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17290","blue4","darkcyan","#CD9B1D80",-0.0690412833886466,0.00423209182628413,0.0622843958321205,-0.0579399421458299,208,2
"84",17292,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17292","blue4","darkcyan","#CD9B1D80",-0.0681658113328194,-0.00632830300093303,0.0673999330987583,-0.0444622183085594,184,1
"85",17304,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17304","blue4","darkcyan","#CD9B1D80",-0.0604223888547113,0.0208905795372518,0.0416477700401207,0.00297186309750929,273,1
"86",17325,"Pop3","GoM.Mass.Olive.Unknown","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Unknown_17325","blue4","darkcyan","#CD9B1D80",-0.053514621708944,0.0416403482856512,0.0199761203622554,0.000802450154997958,255,4
"87",17203,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17203","blue4","darkcyan","#006400BF",-0.0492678582301616,0.0617522598328492,0.0130287220249578,-0.0924077530579684,259,2
"88",17204,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17204","blue4","darkcyan","#006400BF",-0.0633927202236222,-0.00369339405434191,0.058271957596714,-0.0312069790688166,284,1
"89",17206,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17206","blue4","darkcyan","#006400BF",-0.0582862636328526,0.0158823824186882,0.0402977056396848,0.00562561757575763,292,1
"90",17210,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17210","blue4","darkcyan","#006400BF",-0.0712088450961756,-0.000322147286954125,0.0676105986032505,-0.0470579351211176,276,1
"91",17211,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17211","blue4","darkcyan","#006400BF",-0.0573504322116196,0.0280400820919179,0.0344823681826193,-0.00338012255298896,221,1
"92",17215,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17215","blue4","darkcyan","#006400BF",-0.0532532714399735,0.0370583536534768,0.0193982796706696,0.00208130050713232,293,4
"93",17216,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17216","blue4","darkcyan","#006400BF",-0.0660301832562285,0.00929267665611771,0.0579532048118864,-0.0522572203245758,289,2
